Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Ed. Rincón del Bosque,Inv. CIMAR,AV. 10 N # 51N-36,Apto.,Norte,1,0,20,La Flora,101,"28,000,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,1,0,28,Caney,303,"42,500,000"
Trikala,Const. Sintagma,Cr. 49 # 14C-15,Apto.,Sur,2,2 a1,29,Ingenio,301,"41,300,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,29,Ciudad Jardín,7,"53,753,490"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,1,0,29,Caney,309,"48,500,000"
Ciudad Real,Const. Melendez,Cr. 80B # 48A-54,Casa,Sur,1,1,30,Caney,1,"42,266,442"
Ed. Sephia Apartaestudios,Velkar.,Av. 5 Nte Cl. 22,Apto.,Norte,1,1,30,La Flora,6,"47,500,000"
La Luisa,Comfandi,Cl. 1 Cr. 82 y 92,Casa,Sur,1,0,30,El Refugio,2,"26,050,000"
Lekaroz,Const. Jaramillo Arq.,Av. 7 Nte. # 46N-16,Apto.,Norte,1,0,31,La Flora,302,"65,200,000"
Lekaroz,Const. Jaramillo Arq.,Av. 7 Nte. # 46N-16,Apto.,Norte,1,0,32,La Flora,301,"67,032,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,1,0,32,Ciudad Jardín,1,"41,260,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,2,0,33,Caney,306,"49,500,000"
Calialto,Const. Bolívar,Cr. 101A - 102 Cl. 42 y 45,Apto.,Sur,1,1 a 2,33,Caney,105,"49,544,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,2,0,34,Caney,308,"49,500,000"
Eden de los Cerros,Const. Tekton,Cl. 1A # 66B-17,Apto.,Sur,1,1,34,El Refugio,202,"54,030,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,35,El Refugio,1,"60,000,000"
Yari Edificio,LV Estructuras,Cl. 14B # 49-127,Apto.,Sur,1,0,35,Sur Oriente,203,"58,000,000"
Urb. Alameda del Rio,Const. Falattys,Av. 2N Cl. 71,Casa,Norte,1,0,36,Calima,1,"46,624,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,1,0,36,Ciudad Jardín,1,"46,440,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,37,El Refugio,1,"50,000,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,37,Ciudad Jardín,3,"79,000,000"
El Nogal Senior Suites,Concretesa,Cr. 2 Oe # 10-60,Apto.,Oeste,1,0,37,Santa Teresita,1,"125,000,000"
Lili del Viento,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,1,2 a 1,37,Caney,412,"53,406,000"
Lomalinda Conj. Res.,Comfandi,Cr. 93 bis Cl. 2B - 1 Oeste,Apto.,Sur,3,0,38,El Refugio,301,"36,050,000"
Remanso de Chipichape,Arq. y Propiedades,Cl. 4 Nte. # 6A-20,Apto.,Norte,1,1,38,La Flora,6,"106,000,000"
Rincón del Caney,Cusezar,Cr. 83E # 42-71,Apto.,Sur,1,1,39,Caney,104,"63,175,000"
Refugio Plaza Camp.,Proy. y Planes,Cl. 3D # 64-80,Apto.,Sur,1,1,39,El Refugio,1,"38,500,000"
Camino del Limonar,Const. Bolívar, Cl. 15 # 66-25,Apto.,Sur,2,1,39,Ingenio,1,"57,354,000"
Brisas del Aguacatal,Comfandi,Cl. 16  Av. 6 Oeste,Casa,Oeste,2,0,40,Oeste VIS,1,"27,000,000"
Sottomonte Apartaestudios,Inm. Centenario,Av. Guadalupe # 2-157,Apto.,Sur,1,1,40,El Refugio,402,"83,000,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,40,Ciudad Jardín,5,"88,876,000"
Sta. Ma.  de los Vientos,Prom. Sta Isabel,Cl. 4B Cr. 38A,Apto.,Sur,1,1,40,El Refugio,3,"80,000,000"
Torres 52 Norte,Comfenalco,Cl. 52 N # 8N-94,Apto.,Norte,2,0,40,Calima,101,"46,690,000"
Eden de los Cerros,Const. Tekton,Cl. 1A # 66B-17,Apto.,Sur,1,1,40,El Refugio,301,"62,262,000"
Altos de Sta. Elena,Comfenalco,Cl. 1 Cr. 82 y 92,Apto.,Sur,2,0,40,El Refugio,101,"27,690,000"
Corales del Lili,Const. Bolívar,Cr. 99B - 100 Cl. 45,Apto.,Sur,2,1 a 2,40,Caney,101,"51,000,000"
Ed. Sephia Apartaestudios,Velkar.,Av. 5 Nte Cl. 22,Apto.,Norte,1,1,41,La Flora,12,"75,146,000"
Yari Edificio,LV Estructuras,Cl. 14B # 49-127,Apto.,Sur,1,0,41,Sur Oriente,207,"65,000,000"
Ciudad Real,Const. Melendez,Cr. 80B # 48A-54,Casa,Sur,1,1,42,Caney,1,"44,000,000"
California  Aptos,Triada,Cr. 99C # 42-61,Apto.,Sur,2,0,42,Caney,302,"50,000,000"
Edificio Bali,JM Inm.,Cl. 21 N # 9N-40,Apto.,Norte,1,1,42,Sta Monica Nte,I-01-1,"110,222,000"
Conj. Res. Calatrava,I.C. Prefabricados,Cr. 70 Cl. 1C,Apto.,Sur,2,1,43,El Refugio,3,"34,000,000"
Rio Aptos,Const. 180 Grados.,Cr. 102 # 17-37,Apto.,Sur,1,1,43,Ciudad Jardín,316,"97,491,000"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,2,2 a 1,43,Caney,101,"48,630,000"
Mirador Campestre ,Cusezar,Atrás canchas golf club campestre,Apto.,Sur,3,2 a 1,44,El Refugio,301,"63,210,000"
Send. del Caney,Cusezar,Cl. 42 Cr. 83B,Apto.,Sur,1,1,44,Caney,1,"48,000,000"
Pinares del Caney,Marval,Cl. 48 Cr. 82  y 83a,Apto.,Sur,2,1 a 2,44,Caney,101,"56,500,000"
Cerezos del Caney,Marval,Cl. 48 Cr. 85 - 83E,Apto.,Sur,2,0,44,Caney,101,"60,110,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,2,0,44,Ciudad Jardín,2,"61,760,000"
Alto Piamonte,Comfandi,Cr. 83 Cl. 3 Oeste,Apto.,Sur,2,1a2,45,El Refugio,301,"41,265,000"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,45,Caney,101T5,"53,353,000"
Lili del Viento,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,2,2 a 1,45,Caney,411,"64,928,000"
Corales del Lili,Const. Bolívar,Cr. 99B - 100 Cl. 45,Apto.,Sur,2,1 a 2,45,Caney,104,"60,600,000"
Karmel,JM Inm.,Cl. 6 Oe # 1a-05,Apto.,Oeste,1,1,45,Santa Teresita,407,"129,000,000"
Calialto,Const. Bolívar,Cr. 101A - 102 Cl. 42 y 45,Apto.,Sur,2,1 a 2,45,Caney,313,"60,700,000"
Almeria del Refugio,Promovalle,Cl. 2C # 65-56,Apto.,Sur,2,1,46,El Refugio,1,"51,900,000"
Sottomonte Apartaestudios,Inm. Centenario,Av. Guadalupe # 2-157,Apto.,Sur,1,1,46,El Refugio,3,"66,754,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,46,Ciudad Jardín,5,"94,346,000"
Camino del Limonar,Const. Bolívar, Cl. 15 # 66-25,Apto.,Sur,2,1,46,Ingenio,1,"65,652,000"
Edificio Bali,JM Inm.,Cl. 21 N # 9N-40,Apto.,Norte,1,1,46,Sta Monica Nte,I-15-3,"125,300,000"
Amanecer del Refugio,Dklar Asociados,Cl. 1 # 66B-77,Apto.,Sur,2,0,46,El Refugio,201,"63,000,000"
Corales del Lili,Const. Bolívar,Cr. 99B - 100 Cl. 45,Apto.,Sur,2,1 a 2,46,Caney,302,"63,701,000"
Arrecife del Lili,Const. Bolívar,Cr. 95 y 96 Cl. 48,Apto.,Sur,2,1 a 2,46,Caney,301 A,"65,496,000"
Santa Maria de los Vientos,Const. Colpatria,Av. 6 Cl. 58N,Apto.,Norte,1,1,46,La Flora,601,"95,100,000"
Brisas de la Base,Comfenalco,Cr. 8 Cl. 70,Apto.,Norte,3,0,47,El Prado,101,"76,506,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,47,El Refugio,1,"70,000,000"
Bosque de las Delicias,Const. Angel Miranda,Cl. 44 # 3-44,Apto.,Norte,2,1,47,Calima,1,"49,575,000"
Conj. Res. Calicanto,Const. Bolívar,Cl. 42 Cr. 95 y 96,Apto.,Sur,2,2 a 1,47,Caney,104,"56,420,000"
Palmar de las Delicias,Comfenalco,Cl. 44 Cr. 4,Apto.,Norte,2,1,47,Calima,301,"55,500,000"
Lili del Viento,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,2,2 a 1,47,Caney,401,"67,364,000"
Altos de Santa Helena,Comfenalco,Cl. 1 Cr. 82 y 92,Apto.,Sur,2,0,47,El Refugio,301,"45,526,000"
Conj. Habit. Sayab,I.C. Prefabricados,Cr. 15 # 56-73,Apto.,Sur,1,1,48,Ingenio,401,"85,739,000"
Torres de San Lorenzo,Socorro Escobar,Cr. 58 Cl. 11A,Apto.,Sur,2,0,48,Ingenio,1,"39,000,000"
Conj. Res. Calicanto C,Const. Bolívar,Cl. 42 Cr. 95 y 96,Casa,Sur,2,1,48,Caney,2,"62,300,000"
Conj. Res. El Saman,Carbotp,Cl. 2C Cr. 71,Apto.,Sur,2,1,48,El Refugio,1,"55,000,000"
Bosques del Caney,Cusezar,Cr. 83F Cl. 42,Apto.,Sur,2,1,48,Caney,101,"70,000,000"
Palmar de las Delicias,Comfenalco,Cl. 44 Cr. 4,Apto.,Norte,2,1,48,Calima,304,"56,000,000"
Torres 52 Norte,Comfenalco,Cl. 52 N # 8N-94,Apto.,Norte,2,0,48,Calima,201,"51,515,000"
Atrium,Espacio Vital,Cr. 96 # 45-140,Apto.,Sur,1,0,48,Caney,301 C,"67,000,000"
Yari Edificio,LV Estructuras,Cl. 14B # 49-127,Apto.,Sur,1,0,48,Sur Oriente,314,"79,000,000"
Rincón del Caney,Cusezar,Cr. 83E # 42-71,Apto.,Sur,2,1,49,Caney,301,"79,582,000"
Refugio Plaza Camp.,Proy. y Planes,Cl. 3D # 64-80,Apto.,Sur,2,1,49,El Refugio,1,"43,350,000"
Camino del Limonar,Const. Bolívar, Cl. 15 # 66-25,Apto.,Sur,2,1,49,Ingenio,3,"65,551,000"
Torres del Municipal,Consorc. Millan Geycin.,Cr. 11 G Cl. 31,Apto.,Norte,2,0,49,El Prado,301,"49,000,000"
Cerro Cristales,Mecon,Cl. 9A Oe Cr. 38 Oe,Apto.,Oeste,1,1,49,Cristales,516 C,"111,180,000"
Jardín de la Camelia II,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,49,Ingenio,101,"57,000,000"
Urb. Alameda del Rio,Const. Falattys,Av. 2N Cl. 71,Casa,Norte,2,0,49,Calima,2,"57,024,000"
Zoe Apartaestudios,Inv. Las Jotas,Cr. 2 Oe # 13-109,Apto.,Oeste,1,1,49,Santa Teresita,601,"118,657,000"
Brisas de Madrigal,Const. Bariloche,Cr. 99 # 2A-201,Apto.,Sur,2,1,49,El Refugio,101,"69,800,000"
Edificio el Higueron,Comfandi,Cr. 83 y 83C Cl. 53 y 53A,Apto.,Sur,2,1 a 2,50,Caney,301,"53,055,000"
Ciudad Córdoba Reservado,Const. El Limonar,Cl. 54 Cr. 46 y 50,Casa,Sur,1,0,50,Sur Oriente,2,"59,503,000"
Reserva de Melendez,Corasa ,Cr. 94 Cl. 2 y Cl. 2A,Apto.,Sur,3,1 a 10,50,El Refugio,301,"53,000,000"
Colinas del Bosque,Const. Bariloche,Av. 11 Cl. 54 y 55 ,Apto.,Norte,2,1,50,La Flora,307,"75,000,000"
Verde Aguacatal,Solanillas,Cl. 11 oe Av. 15 # 105,Apto.,Oeste,2,1,50,Oeste VIS,101,"120,000,000"
Camino del Limonar,Const. Bolívar, Cl. 15 # 66-25,Apto.,Sur,2,1,50,Ingenio,1,"86,500,000"
California  Aptos,Triada,Cr. 99C # 42-61,Apto.,Sur,2,0,50,Caney,204,"59,700,000"
Altos de Sta. Elena,Comfenalco,Cl. 1 Cr. 82 y 92,Apto.,Sur,2,0,50,El Refugio,102,"32,305,000"
Kineret Lofts,Solanillas,Cr. 37 Oe # 2-64,Apto.,Oeste,1,1,50,Cristales,701,"123,031,340"
Torres de Santa Juliana,Consorc. Meing & Solanillas,Cr. 11 G Cl. 31,Apto.,Norte,2,0,50,El Prado,501,"51,926,000"
Fuentes de la Bocha,Const. Bolívar,Cl. 46 Cr. 111 y 112,Apto.,Sur,2,2 a 1,50,Autonoma,301,"58,225,000"
Edificio El Tamarindo,Comfandi,Cl. 53 y 54 Cr. 84,Apto.,Sur,2,0,50,Caney,301,"42,850,000"
Edificio Las Vegas,Comfandi,Cl. 53 y 54 Cr. 84,Apto.,Sur,2,0,50,Caney,301,"42,850,000"
Brisas de los Alamos Sauces,Const. Alpes,Cl. 75  y 76 Av. 2N y 2C Nte,Apto.,Norte,2,1 a 2,51,Calima,301,"79,582,500"
Lomas del Aguacatal,Comfenalco,Av. 10 Oe # 10C Oe-36,Apto.,Oeste,2,2 a1,51,Oeste VIS,301,"65,847,500"
Rio Verde,Const. 180 Grados.,Cl. 22 A # 121-223,Apto.,Sur,1,1,51,Ciudad Jardín,310B,"160,000,000"
Cerezos del Caney,Marval,Cl. 48 Cr. 85 - 83E,Apto.,Sur,2,0,51,Caney,301,"72,306,000"
Pinares del Caney,Marval,Cl. 48 Cr. 82  y 83a,Apto.,Sur,2,1 a 2,51,Caney,301,"72,306,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,51,El Refugio,1,"74,000,000"
Bosq. de la Abadia,Socorro Escobar,Cr. 5 Cl. 68,Casa,Norte,2,0,51,Calima,2,"52,000,000"
Conj. Res. Andalucia,I.C. Prefabricados,Cl. 16 Cr. 53,Apto.,Sur,2,1,51,Ingenio,101,"62,302,000"
Edificio Bali,JM Inm.,Cl. 21 N # 9N-40,Apto.,Norte,1,1,51,Sta Monica Nte,I-19-4,"132,600,000"
Rio Aptos,Const. 180 Grados.,Cr. 102 # 17-37,Apto.,Sur,1,1,51,Ciudad Jardín,313,"111,604,000"
Zoe Apartaestudios,Inv. Las Jotas,Cr. 2 Oe # 13-109,Apto.,Oeste,1,1,51,Santa Teresita,607,"124,923,000"
Remanso de Chipichape,Arq. y Propiedades,Cl. 4 Nte. # 6A-20,Apto.,Norte,1,1,51,La Flora,6,"117,000,000"
Natura Vida Silvestre,Renova Grupo Const.,Cl. 8A Oeste Cr. 26,Apto.,Oeste,1,1,52,Cristales,310,"142,200,000"
Palmar de las Delicias,Comfenalco,Cl. 44 Cr. 4,Apto.,Norte,2,1,52,Calima,101,"62,000,000"
Jardín de la Camelia,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,52,Ingenio,102,"55,000,000"
Conj. Habit. Sayab,I.C. Prefabricados,Cr. 15 # 56-73,Apto.,Sur,2,1,52,Ingenio,107,"91,300,000"
Conj. Res. Andalucia,I.C. Prefabricados,Cl. 16 Cr. 53,Apto.,Sur,2,1,52,Ingenio,501,"62,302,000"
Brisas de Santa Maria,Comfenalco,Diag. 58 Aut. Simon Bolivar,Apto.,Sur,2,1,52,Sur Oriente,101,"57,153,500"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,52,Caney,204T4,"63,776,000"
Sierra de Normandia,Cusezar,Cl. 1B oeste # 4oes-201,Apto.,Oeste,1,1,52,Aguacatal,101,"130,440,000"
Prados de Zaragoza,Const. Bolívar,Cl. 18 Cr. 68,Apto.,Sur,2,1,52,Ingenio,115,"101,000,000"
Vicenzzo,S.I. Prop.Raíz S.A.S.,Cl. 12A Oeste # 2B1-24,Apto.,Oeste,1,2,52,Santa Teresita,1,"140,400,000"
Robles del Norte,Marval,Cl. 52 Cr. 1B,Apto.,Norte,3,1 a 2,53,Calima,301,"77,206,000"
Sotorela,I.C. Prefabricados,Cl. 84 Cr. 1BN,Apto.,Norte,2,1 a 2,53,Calima,301,"62,000,000"
El Rosedal de Comfandi,Const. Integral,Cl. 25 Cr. 83C Esq.,Casa,Sur,2,1,53,Caney,1,"44,375,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,53,El Refugio,1,"73,000,000"
Torres 52 Norte,Comfenalco,Cl. 52 N # 8N-94,Apto.,Norte,2,0,53,Calima,301,"51,000,000"
Conj. Res. Barlovento,Const. Alpes,Cl. 48 Cr. 85A,Apto.,Sur,2,1 a 2,53,Caney,401,"70,450,000"
Eden de los Cerros,Const. Tekton,Cl. 1A # 66B-17,Apto.,Sur,2,1,53,El Refugio,302,"74,685,000"
Torres de Alicante,Const. Normandia,Cr. 1 Cl. 59 ,Apto.,Norte,3,0,53,Calima,301,"72,306,000"
Vilaverde,Const. Melendez,Cr. 86 Cl. 50,Apto.,Sur,2,2 a1,53,Caney,104,"64,393,000"
Brisas de Madrigal,Const. Bariloche,Cr. 99 # 2A-201,Apto.,Sur,2,1,53,El Refugio,103,"69,800,000"
Paraná,Const. Alpes,Cl. 42 y 43 Cr. 109,Apto.,Sur,3,2 a 1,53,Autonoma,301,"61,100,000"
Kerétaro del Viento,Dklar Asociados,Av. 4 Nte # 62N-90,Apto.,Norte,3,1,53,La Flora,601,"107,000,000"
Reserva de Guadalupe,Cusezar,Av. Guadalupe Cl. 14C,Apto.,Sur,2,1a2,54,Ingenio,401,"89,500,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,2,1,54,El Refugio,1,"74,000,000"
Sottomonte Apartaestudios,Inm. Centenario,Av. Guadalupe # 2-157,Apto.,Sur,1,1,54,El Refugio,5,"93,225,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,54,Ciudad Jardín,8,"111,800,000"
Bosque de las Delicias,Const. Angel Miranda,Cl. 44 # 3-44,Apto.,Norte,3,1,54,Calima,301,"62,500,000"
Conj. Res. Calicanto,Const. Bolívar,Cl. 42 Cr. 95 y 96,Apto.,Sur,2,2 a 1,54,Caney,102,"63,300,000"
Divisa,Const. Valle,Cl. 8 Oeste #25C-92,Apto.,Oeste,1,1,54,Cristales,1,"95,200,000"
Villa Magna,Solevento,Cl. 1B # 55-56,Apto.,Sur,3,1,54,El Refugio,201,"134,000,000"
Miro Apartaloft,Indico,Av. 6D # 40N-05,Apto.,Norte,1,1,54,La Flora,805,"124,100,000"
Jardín de la Camelia II,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,54,Ingenio,502,"69,525,000"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,54,Caney,201T5,"66,230,000"
Lomas del Oeste,Comfenalco,Cl. 12 Oeste # 2a-151,Apto.,Oeste,2,0,54,Oeste VIS,301,"72,306,000"
Brisas de Madrigal,Const. Bariloche,Cr. 99 # 2A-201,Apto.,Sur,2,1,54,El Refugio,301,"69,800,000"
Los Cipreses,Const. Alpes,Av. 2A Nte Cl. 76,Apto.,Norte,2,1 a 2,55,Calima,301,"79,990,000"
Fortemurano,Jaramillo Mora,Cr. 101 y 102 Cl. 48,Apto.,Sur,3,1a2,55,Caney,401,"76,700,000"
Colinas del Viento,Procon,Av. Cerros Cl. 66 y 67,Apto.,Sur,3,1 a 2,55,El Refugio,101 D,"76,600,000"
Rincón del Norte,Alejandro Lozano Forero,Av. 2C N # 72N-46,Apto.,Norte,3,0,55,La Flora,4,"32,900,000"
Ed. Sephia Apartaestudios,Velkar.,Av. 5 Nte Cl. 22,Apto.,Norte,1,1,55,La Flora,2,"89,300,000"
Conj. Res. Calicanto,Const. Bolívar,Cl. 42 Cr. 95 y 96,Apto.,Sur,2,2 a 1,55,Caney,301,"65,110,000"
Guadalupe Real,Marval,Cl. 2 Cr. 53 y 54,Apto.,Sur,3,1,55,El Refugio,401,"83,041,000"
Jardín de la Camelia,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,55,Ingenio,106,"58,549,000"
California  Aptos,Triada,Cr. 99C # 42-61,Apto.,Sur,3,0,55,Caney,303,"69,525,000"
Rio Aptos,Const. 180 Grados.,Cr. 102 # 17-37,Apto.,Sur,1,1,55,Ciudad Jardín,303,"125,670,000"
Kineret Lofts,Solanillas,Cr. 37 Oe # 2-64,Apto.,Oeste,1,1,55,Cristales,409,"140,000,000"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,55,Caney,301T4,"65,669,000"
Fortemadeiro,Jaramillo Mora,Cr. 98 Cl. 45 y 48,Apto.,Sur,3,1a2,55,Caney,401,"71,600,000"
Calialto,Const. Bolívar,Cr. 101A - 102 Cl. 42 y 45,Apto.,Sur,3,1 a 2,56,Caney,304,"67,075,000"
Madrigal Campestre,Marval,Cr. 99 Cl. 1 y 2,Apto.,Sur,3,1a2,56,El Refugio,373,"68,069,700"
Patios en el Lili,Apiros,Cl. 45 # 98B-01,Apto.,Sur,2,1,56,Caney,102,"94,300,000"
Parques del Caney,Jaramillo Mora,Cl. 42A Cr. 84,Apto.,Sur,2,1,56,Caney,101,"81,700,000"
Reserva del Peñon,JM Inm.,Cl. 5 Oe # 3B-136,Apto.,Oeste,1,1,56,Santa Teresita,303,"124,428,000"
Jardín de la Camelia,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,56,Ingenio,304,"58,549,000"
Miro Apartaloft,Indico,Av. 6D # 40N-05,Apto.,Norte,1,1,56,La Flora,"1,201","136,800,000"
Jardín de la Camelia II,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,56,Ingenio,301,"67,200,000"
Zoe Apartaestudios,Inv. Las Jotas,Cr. 2 Oe # 13-109,Apto.,Oeste,1,1,56,Santa Teresita,605,"137,966,000"
Prados de Zaragoza,Const. Bolívar,Cl. 18 Cr. 68,Apto.,Sur,2,1,56,Ingenio,316,"103,125,000"
Balcones del Lili,Apiros,Cl. 45 Cr. 98A y 98B,Apto.,Sur,2,1 a 2,56,Caney,301,"70,900,000"
Arrecife del Lili,Const. Bolívar,Cr. 95 y 96 Cl. 48,Apto.,Sur,3,1 a 2,56,Caney,304 I,"72,306,000"
Bosque Real,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,57,Caney,301,"69,400,000"
Colinas del Viento,Procon,Av. Cerros Cl. 66 y 67,Apto.,Sur,3,1 a 2,57,El Refugio,301 D,"75,500,000"
Campos del Bosque,Buenavista Const. Prom.,Cl. 54 y Cl. 55 Cr. 98,Apto.,Sur,2,1 a 2,57,Caney,402,"79,000,000"
Remanso del Rio,Const. Bolívar,Cr. 101A - 102 Cl. 42 y 45,Apto.,Sur,3,1,57,Caney,101,"81,256,000"
Torres del Almeria,Const. Bolívar,Cr. 69 y 68B Cl. 15A y 16,Apto.,Sur,3,1,57,Ingenio,101D,"107,184,000"
Jardín de la Camelia,ConCali ,Cl. 14C # 50-103,Apto.,Sur,2,0,57,Ingenio,501,"61,500,000"
Cerro Cristales,Mecon,Cl. 9A Oe Cr. 38 Oe,Apto.,Oeste,1,1,57,Cristales,517A,"106,500,000"
Lekaroz,Const. Jaramillo Arq.,Av. 7 Nte. # 46N-16,Apto.,Norte,1,0,57,La Flora,Dp2,"126,649,000"
Zoe Apartaestudios,Inv. Las Jotas,Cr. 2 Oe # 13-109,Apto.,Oeste,1,1,57,Santa Teresita,604,"139,880,000"
Campo Verde,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,3,2 a 1,57,Caney,301T5,"68,599,000"
Altoverde,Const. Bolívar,Cr. 100 - 100A Cl. 42 y 45,Apto.,Sur,2,1 a 2,57,Caney,301J,"69,525,000"
Verde Real,Const. Bolívar,Cl. 45 Cr. 102,Apto.,Sur,2,1 a 2,57,Caney,301,"72,200,000"
Rincon de la Flora,Rubio Promotores,Cl. 33 N Av. 2BN,Apto.,Norte,3,1 a 2,57,La Flora,301,"75,198,000"
Portales del Viento,Triada,Cl. 18 # 66-73,Apto.,Sur,2,1 a 2,57,Ingenio,301,"75,800,000"
Iguaque,Const. Melendez,Cr. 87 Cl. 50,Apto.,Sur,3,2 a1,57,Caney,401,"75,128,000"
Brisas de la Base II,Comfandi,Cr. 8A Cl. 70,Apto.,Norte,2,1 a 2,57,El Prado,301,"79,582,500"
Portoalegre II,Const. Alpes,Cl. 42 y 43 Cr. 109,Apto.,Sur,3,1 a 2,58,Autonoma,301,"79,564,000"
Rincon de Guadalupe,Rubio Promotores,Cl. 18 Cr. 53A y 54,Apto.,Sur,3,1,58,Ingenio,301,"76,450,000"
Portoalegre,Const. Alpes,Cl. 42 y 43 Cr. 109,Apto.,Sur,3,1 a 2,58,Autonoma,301,"79,564,000"
Trikala,Const. Sintagma,Cr. 49 # 14C-15,Apto.,Sur,2,2 a1,58,Ingenio,302,"82,000,000"
Sendero del Aguacatal,Grupo Alan,Av. 12 Oe Cl. 10,Apto.,Oeste,2,1,58,Aguacatal,401,"79,506,000"
Vento 2 Apart. Flex,Aiki,Cl. 8 Oe #25-240,Apto.,Oeste,1,1,58,Cristales,303,"141,000,000"
Loma Verde,Inacar,Cr. 4 Oeste # 15-15,Apto.,Oeste,2,1,58,Cristales,102,"93,150,000"
Sauces del Caney,Marval,Cr. 48 Cl. 83C ,Apto.,Sur,3,1 a 2,58,Caney,401 T5,"78,206,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,2,1,58,El Refugio,1,"80,000,000"
Torres de San Lorenzo,Socorro Escobar,Cr. 58 Cl. 11A,Apto.,Sur,3,0,58,Ingenio,5,"50,000,000"
Sottomonte Apartaestudios,Inm. Centenario,Av. Guadalupe # 2-157,Apto.,Sur,1,1,58,El Refugio,204,"136,000,000"
Palmar de las Delicias,Comfenalco,Cl. 44 Cr. 4,Apto.,Norte,3,1,58,Calima,303,"67,081,500"
Conj. Res. Barlovento,Const. Alpes,Cl. 48 Cr. 85A,Apto.,Sur,2,1,58,Caney,401,"75,900,000"
Conj. Habit. Sayab,I.C. Prefabricados,Cr. 15 # 56-73,Apto.,Sur,2,1,58,Ingenio,706,"94,961,000"
Miro Apartaloft,Indico,Av. 6D # 40N-05,Apto.,Norte,2,2,58,La Flora,708,"136,700,000"
Ciudadela Cataluña,Const. Bariloche,Cl. 72A # 4-35,Casa,Norte,3,1 a 2,58,Calima,2,"72,306,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,3,0,58,Ciudad Jardín,3,"84,820,000"
Zoe Apartaestudios,Inv. Las Jotas,Cr. 2 Oe # 13-109,Apto.,Oeste,1,1,58,Santa Teresita,706,"143,583,000"
Fuerteventura,Jaramillo Mora,Cr. 101 Cl. 42 y 45,Apto.,Sur,3,1 a 2,58,Caney,301,"69,525,000"
Primavera del Lili,Const. Alpes,Cl. 48 Cr. 90 y 92,Apto.,Sur,3,1 a 2,58,Caney,401,"72,300,000"
